index（序号）,model（模型名称）,url（页面路径）,type（模型类型）,mode（流程模式）,implementation_status（实施状态）,primary_keyword（主关键词）,commercial_keyword（商业/行动关键词）,secondary_keywords（副关键词簇）,intent（搜索意图）,sv_us_proxy（国家代理搜索量）,global_search_volume（全球搜索量）,keyword_difficulty（关键词难度 KD）,traffic_potential（流量潜力）,cpc_us_proxy（国家代理 CPC）,metric_notes（指标备注）,keyword_join（关键词匹配审计）,content_coverage_summary（内容覆盖汇总）,title_status（SEO 标题状态）,title_keyword_refs（SEO 标题关联关键词）,meta_description_status（Meta 描述状态）,meta_description_keyword_refs（Meta 描述关联关键词）,h1_status（H1 主标题状态）,h1_keyword_refs（H1 主标题关联关键词）,opening_status（首段/开场回答状态）,opening_keyword_refs（首段/开场回答关联关键词）,h2_topics_status（H2 主题状态）,h2_topics_keyword_refs（H2 主题关联关键词）,api_access_status（API/访问状态）,api_access_keyword_refs（API/访问关联关键词）,pricing_status（价格状态）,pricing_keyword_refs（价格关联关键词）,use_cases_status（使用场景状态）,use_cases_keyword_refs（使用场景关联关键词）,comparison_status（对比状态）,comparison_keyword_refs（对比关联关键词）,prompt_library_status（Prompt 示例状态）,prompt_library_keyword_refs（Prompt 示例关联关键词）,faq_status（FAQ 常见问题状态）,faq_keyword_refs（FAQ 常见问题关联关键词）,schema_status（结构化数据状态）,schema_keyword_refs（结构化数据关联关键词）,canonical_hreflang_status（Canonical/Hreflang状态）,canonical_hreflang_keyword_refs（Canonical/Hreflang关联关键词）,internal_links_status（内链状态）,internal_links_keyword_refs（内链关联关键词）,faq_source（FAQ 来源）,faq_questions_count（FAQ 问题数）,fact_boundary（事实边界）,notes（备注）,source_evidence（数据来源）
77,gpt-4o-mini,/models/gpt-4o-mini,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,gpt-4o-mini,openai api pricing gpt-4o mini august 2025,gpt-4o-mini openai model documentation · openai/gpt-4o-mini · gpt-4o-mini tts,informational+commercial+branded,900,3500,52,3900,80,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gpt-4o-mini,covered,gpt-4o-mini · openai api pricing gpt-4o mini august 2025,covered,gpt-4o-mini,covered,openai api pricing gpt-4o mini august 2025 · gpt-4o-mini openai model documentation · openai/gpt-4o-mini · gpt-4o-mini tts,covered,openai api pricing gpt-4o mini august 2025 · gpt-4o-mini openai model documentation · openai/gpt-4o-mini · gpt-4o-mini tts,covered,openai api pricing gpt-4o mini august 2025 · gpt-4o-mini openai model documentation · openai/gpt-4o-mini · gpt-4o-mini tts,covered,openai api pricing gpt-4o mini august 2025 · gpt-4o-mini openai model documentation · openai/gpt-4o-mini · gpt-4o-mini tts,covered,openai api pricing gpt-4o mini august 2025 · gpt-4o-mini openai model documentation · openai/gpt-4o-mini · gpt-4o-mini tts,covered,openai api pricing gpt-4o mini august 2025 · gpt-4o-mini openai model documentation · openai/gpt-4o-mini · gpt-4o-mini tts,not_applicable,,covered,gpt-4o-mini openai model documentation · openai/gpt-4o-mini · gpt-4o-mini tts · openai api pricing gpt-4o mini august 2025,covered,openai api pricing gpt-4o mini august 2025 · gpt-4o-mini openai model documentation · openai/gpt-4o-mini · gpt-4o-mini tts,covered,openai api pricing gpt-4o mini august 2025 · gpt-4o-mini openai model documentation · openai/gpt-4o-mini · gpt-4o-mini tts,covered,openai api pricing gpt-4o mini august 2025 · gpt-4o-mini openai model documentation · openai/gpt-4o-mini · gpt-4o-mini tts,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
78,gemini-2.5-flash-preview-tts,/models/gemini-2.5-flash-preview-tts,audio,quick,implemented_local_pending_staging_browser_and_index_observation,gemini-2.5-flash-preview-tts,gemini 2.5 flash preview tts pricing,gemini 2.5 flash preview tts pricing · gemini-2.5-flash-preview-tts pricing · gemini-2.5-flash-preview-tts model name,branded/informational (inferred),20,100,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gemini-2.5-flash-preview-tts,covered,gemini-2.5-flash-preview-tts · gemini 2.5 flash preview tts pricing,covered,gemini-2.5-flash-preview-tts,covered,gemini 2.5 flash preview tts pricing · gemini 2.5 flash preview tts pricing · gemini-2.5-flash-preview-tts pricing · gemini-2.5-flash-preview-tts model name,covered,gemini 2.5 flash preview tts pricing · gemini 2.5 flash preview tts pricing · gemini-2.5-flash-preview-tts pricing · gemini-2.5-flash-preview-tts model name,covered,gemini 2.5 flash preview tts pricing · gemini 2.5 flash preview tts pricing · gemini-2.5-flash-preview-tts pricing · gemini-2.5-flash-preview-tts model name,covered,gemini 2.5 flash preview tts pricing · gemini 2.5 flash preview tts pricing · gemini-2.5-flash-preview-tts pricing · gemini-2.5-flash-preview-tts model name,covered,gemini 2.5 flash preview tts pricing · gemini 2.5 flash preview tts pricing · gemini-2.5-flash-preview-tts pricing · gemini-2.5-flash-preview-tts model name,covered,gemini 2.5 flash preview tts pricing · gemini 2.5 flash preview tts pricing · gemini-2.5-flash-preview-tts pricing · gemini-2.5-flash-preview-tts model name,not_applicable,,covered,gemini 2.5 flash preview tts pricing · gemini-2.5-flash-preview-tts pricing · gemini-2.5-flash-preview-tts model name · gemini 2.5 flash preview tts pricing,covered,gemini 2.5 flash preview tts pricing · gemini 2.5 flash preview tts pricing · gemini-2.5-flash-preview-tts pricing · gemini-2.5-flash-preview-tts model name,covered,gemini 2.5 flash preview tts pricing · gemini 2.5 flash preview tts pricing · gemini-2.5-flash-preview-tts pricing · gemini-2.5-flash-preview-tts model name,covered,gemini 2.5 flash preview tts pricing · gemini 2.5 flash preview tts pricing · gemini-2.5-flash-preview-tts pricing · gemini-2.5-flash-preview-tts model name,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
79,MiniMax-H3,/models/minimax-h3,video,full,implemented_local_pending_staging_browser_fact_review,minimax h3,minimax h3 api,minimax h3 comfyui · minimax h3 prompting guide · minimax h3 video model,informational+commercial+branded,700,5400,41,,,,source_matrix_join_verified,covered=14; planned=0; not_applicable=0,covered,minimax h3 · minimax h3 api,covered,minimax h3 · minimax h3 api,covered,minimax h3,covered,minimax h3 · minimax h3 comfyui · minimax h3 prompting guide,covered,minimax h3 api · minimax h3 comfyui · minimax h3 prompting guide · minimax h3 video model,covered,minimax h3 api · minimax h3 comfyui · minimax h3 prompting guide · minimax h3 video model,covered,minimax h3 api · minimax h3 comfyui · minimax h3 prompting guide · minimax h3 video model,covered,minimax h3 api · minimax h3 comfyui · minimax h3 prompting guide · minimax h3 video model,covered,minimax h3 api · minimax h3 comfyui · minimax h3 prompting guide · minimax h3 video model,covered,minimax h3 api · minimax h3 comfyui · minimax h3 prompting guide · minimax h3 video model,covered,minimax h3 comfyui · minimax h3 prompting guide · minimax h3 video model · minimax h3 api,covered,,covered,,covered,,Ahrefs Questions + verified facts,6,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Curated priority pack implemented in website/src/lib/model-landing.ts; local tests pass; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
80,glm-5,/models/glm-5,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,glm-5,glm-5 pricing api cost,free glm 5 · glm 5 parameters · glm-5 llm,informational+branded,1600,9000,65,5100,50,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,glm-5,covered,glm-5 · glm-5 pricing api cost,covered,glm-5,covered,glm-5 pricing api cost · free glm 5 · glm 5 parameters · glm-5 llm,covered,glm-5 pricing api cost · free glm 5 · glm 5 parameters · glm-5 llm,covered,glm-5 pricing api cost · free glm 5 · glm 5 parameters · glm-5 llm,covered,glm-5 pricing api cost · free glm 5 · glm 5 parameters · glm-5 llm,covered,glm-5 pricing api cost · free glm 5 · glm 5 parameters · glm-5 llm,covered,glm-5 pricing api cost · free glm 5 · glm 5 parameters · glm-5 llm,not_applicable,,covered,free glm 5 · glm 5 parameters · glm-5 llm · glm-5 pricing api cost,covered,glm-5 pricing api cost · free glm 5 · glm 5 parameters · glm-5 llm,covered,glm-5 pricing api cost · free glm 5 · glm 5 parameters · glm-5 llm,covered,glm-5 pricing api cost · free glm 5 · glm 5 parameters · glm-5 llm,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
81,gpt-4.1-mini,/models/gpt-4.1-mini,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,gpt-4.1-mini,openai api pricing 2025 gpt-4.1 mini price,openai api pricing gpt-4.1 mini nano official · gpt-4.1-mini model name · openai api pricing 2026 gpt-4.1 mini,informational+branded,400,1500,,,90,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gpt-4.1-mini,covered,gpt-4.1-mini · openai api pricing 2025 gpt-4.1 mini price,covered,gpt-4.1-mini,covered,openai api pricing 2025 gpt-4.1 mini price · openai api pricing gpt-4.1 mini nano official · gpt-4.1-mini model name · openai api pricing 2026 gpt-4.1 mini,covered,openai api pricing 2025 gpt-4.1 mini price · openai api pricing gpt-4.1 mini nano official · gpt-4.1-mini model name · openai api pricing 2026 gpt-4.1 mini,covered,openai api pricing 2025 gpt-4.1 mini price · openai api pricing gpt-4.1 mini nano official · gpt-4.1-mini model name · openai api pricing 2026 gpt-4.1 mini,covered,openai api pricing 2025 gpt-4.1 mini price · openai api pricing gpt-4.1 mini nano official · gpt-4.1-mini model name · openai api pricing 2026 gpt-4.1 mini,covered,openai api pricing 2025 gpt-4.1 mini price · openai api pricing gpt-4.1 mini nano official · gpt-4.1-mini model name · openai api pricing 2026 gpt-4.1 mini,covered,openai api pricing 2025 gpt-4.1 mini price · openai api pricing gpt-4.1 mini nano official · gpt-4.1-mini model name · openai api pricing 2026 gpt-4.1 mini,not_applicable,,covered,openai api pricing gpt-4.1 mini nano official · gpt-4.1-mini model name · openai api pricing 2026 gpt-4.1 mini · openai api pricing 2025 gpt-4.1 mini price,covered,openai api pricing 2025 gpt-4.1 mini price · openai api pricing gpt-4.1 mini nano official · gpt-4.1-mini model name · openai api pricing 2026 gpt-4.1 mini,covered,openai api pricing 2025 gpt-4.1 mini price · openai api pricing gpt-4.1 mini nano official · gpt-4.1-mini model name · openai api pricing 2026 gpt-4.1 mini,covered,openai api pricing 2025 gpt-4.1 mini price · openai api pricing gpt-4.1 mini nano official · gpt-4.1-mini model name · openai api pricing 2026 gpt-4.1 mini,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
82,qwen3.5-35b-a3b,/models/qwen3.5-35b-a3b,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,qwen3.5-35b-a3b,N/A,qwen/qwen3.5-35b-a3b-fp8 · qwen3.5-35b-a3b gguf · qwen3.5-35b-a3b number of layers,informational+branded,600,2500,23,700,70,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,qwen3.5-35b-a3b,covered,qwen3.5-35b-a3b,covered,qwen3.5-35b-a3b,covered,qwen/qwen3.5-35b-a3b-fp8 · qwen3.5-35b-a3b gguf · qwen3.5-35b-a3b number of layers,covered,qwen/qwen3.5-35b-a3b-fp8 · qwen3.5-35b-a3b gguf · qwen3.5-35b-a3b number of layers,covered,qwen/qwen3.5-35b-a3b-fp8 · qwen3.5-35b-a3b gguf · qwen3.5-35b-a3b number of layers,covered,qwen/qwen3.5-35b-a3b-fp8 · qwen3.5-35b-a3b gguf · qwen3.5-35b-a3b number of layers,covered,qwen/qwen3.5-35b-a3b-fp8 · qwen3.5-35b-a3b gguf · qwen3.5-35b-a3b number of layers,covered,qwen/qwen3.5-35b-a3b-fp8 · qwen3.5-35b-a3b gguf · qwen3.5-35b-a3b number of layers,not_applicable,,covered,qwen/qwen3.5-35b-a3b-fp8 · qwen3.5-35b-a3b gguf · qwen3.5-35b-a3b number of layers,covered,qwen/qwen3.5-35b-a3b-fp8 · qwen3.5-35b-a3b gguf · qwen3.5-35b-a3b number of layers,covered,qwen/qwen3.5-35b-a3b-fp8 · qwen3.5-35b-a3b gguf · qwen3.5-35b-a3b number of layers,covered,qwen/qwen3.5-35b-a3b-fp8 · qwen3.5-35b-a3b gguf · qwen3.5-35b-a3b number of layers,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
83,claude-sonnet-4-5-20250929,/models/claude-sonnet-4-5-20250929,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,claude-sonnet-4-5-20250929,anthropic api model claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929 model · claude-sonnet-4-5-20250929-thinking-32k · claude-sonnet-4-5-20250929 model id,informational+branded,200,700,,,180,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,claude-sonnet-4-5-20250929,covered,claude-sonnet-4-5-20250929 · anthropic api model claude-sonnet-4-5-20250929,covered,claude-sonnet-4-5-20250929,covered,anthropic api model claude-sonnet-4-5-20250929 · claude-sonnet-4-5-20250929 model · claude-sonnet-4-5-20250929-thinking-32k · claude-sonnet-4-5-20250929 model id,covered,anthropic api model claude-sonnet-4-5-20250929 · claude-sonnet-4-5-20250929 model · claude-sonnet-4-5-20250929-thinking-32k · claude-sonnet-4-5-20250929 model id,covered,anthropic api model claude-sonnet-4-5-20250929 · claude-sonnet-4-5-20250929 model · claude-sonnet-4-5-20250929-thinking-32k · claude-sonnet-4-5-20250929 model id,covered,anthropic api model claude-sonnet-4-5-20250929 · claude-sonnet-4-5-20250929 model · claude-sonnet-4-5-20250929-thinking-32k · claude-sonnet-4-5-20250929 model id,covered,anthropic api model claude-sonnet-4-5-20250929 · claude-sonnet-4-5-20250929 model · claude-sonnet-4-5-20250929-thinking-32k · claude-sonnet-4-5-20250929 model id,covered,anthropic api model claude-sonnet-4-5-20250929 · claude-sonnet-4-5-20250929 model · claude-sonnet-4-5-20250929-thinking-32k · claude-sonnet-4-5-20250929 model id,not_applicable,,covered,claude-sonnet-4-5-20250929 model · claude-sonnet-4-5-20250929-thinking-32k · claude-sonnet-4-5-20250929 model id · anthropic api model claude-sonnet-4-5-20250929,covered,anthropic api model claude-sonnet-4-5-20250929 · claude-sonnet-4-5-20250929 model · claude-sonnet-4-5-20250929-thinking-32k · claude-sonnet-4-5-20250929 model id,covered,anthropic api model claude-sonnet-4-5-20250929 · claude-sonnet-4-5-20250929 model · claude-sonnet-4-5-20250929-thinking-32k · claude-sonnet-4-5-20250929 model id,covered,anthropic api model claude-sonnet-4-5-20250929 · claude-sonnet-4-5-20250929 model · claude-sonnet-4-5-20250929-thinking-32k · claude-sonnet-4-5-20250929 model id,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
84,deepseek-v4-pro-0813,/models/deepseek-v4-pro-0813,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,deepseek v4 pro 0813,N/A,N/A,N/A,,,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,deepseek v4 pro 0813,covered,deepseek v4 pro 0813,covered,deepseek v4 pro 0813,covered,,covered,,covered,,covered,,covered,,covered,,not_applicable,,covered,,covered,,covered,,covered,,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
85,claude-opus-4-5,/models/claude-opus-4-5,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,claude-opus-4-5,anthropic api claude-opus-4-5 model id 2025,claude-opus-4-5-20251101-thinking-32k · claude-opus-4-5-20251101 · claude-opus-4-5-2025,branded/informational (inferred),60,350,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,claude-opus-4-5,covered,claude-opus-4-5 · anthropic api claude-opus-4-5 model id 2025,covered,claude-opus-4-5,covered,anthropic api claude-opus-4-5 model id 2025 · claude-opus-4-5-20251101-thinking-32k · claude-opus-4-5-20251101 · claude-opus-4-5-2025,covered,anthropic api claude-opus-4-5 model id 2025 · claude-opus-4-5-20251101-thinking-32k · claude-opus-4-5-20251101 · claude-opus-4-5-2025,covered,anthropic api claude-opus-4-5 model id 2025 · claude-opus-4-5-20251101-thinking-32k · claude-opus-4-5-20251101 · claude-opus-4-5-2025,covered,anthropic api claude-opus-4-5 model id 2025 · claude-opus-4-5-20251101-thinking-32k · claude-opus-4-5-20251101 · claude-opus-4-5-2025,covered,anthropic api claude-opus-4-5 model id 2025 · claude-opus-4-5-20251101-thinking-32k · claude-opus-4-5-20251101 · claude-opus-4-5-2025,covered,anthropic api claude-opus-4-5 model id 2025 · claude-opus-4-5-20251101-thinking-32k · claude-opus-4-5-20251101 · claude-opus-4-5-2025,not_applicable,,covered,claude-opus-4-5-20251101-thinking-32k · claude-opus-4-5-20251101 · claude-opus-4-5-2025 · anthropic api claude-opus-4-5 model id 2025,covered,anthropic api claude-opus-4-5 model id 2025 · claude-opus-4-5-20251101-thinking-32k · claude-opus-4-5-20251101 · claude-opus-4-5-2025,covered,anthropic api claude-opus-4-5 model id 2025 · claude-opus-4-5-20251101-thinking-32k · claude-opus-4-5-20251101 · claude-opus-4-5-2025,covered,anthropic api claude-opus-4-5 model id 2025 · claude-opus-4-5-20251101-thinking-32k · claude-opus-4-5-20251101 · claude-opus-4-5-2025,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
86,gemma-4-26b-a4b-it,/models/gemma-4-26b-a4b-it,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,gemma-4-26b-a4b-it,openrouter google/gemma-4-26b-a4b-it pricing,google/gemma-4-26b-a4b-it · cyankiwi/gemma-4-26b-a4b-it-awq-4bit · unsloth/gemma-4-26b-a4b-it-gguf,informational+commercial+transactional+branded,100,450,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gemma-4-26b-a4b-it,covered,gemma-4-26b-a4b-it · openrouter google/gemma-4-26b-a4b-it pricing,covered,gemma-4-26b-a4b-it,covered,openrouter google/gemma-4-26b-a4b-it pricing · google/gemma-4-26b-a4b-it · cyankiwi/gemma-4-26b-a4b-it-awq-4bit · unsloth/gemma-4-26b-a4b-it-gguf,covered,openrouter google/gemma-4-26b-a4b-it pricing · google/gemma-4-26b-a4b-it · cyankiwi/gemma-4-26b-a4b-it-awq-4bit · unsloth/gemma-4-26b-a4b-it-gguf,covered,openrouter google/gemma-4-26b-a4b-it pricing · google/gemma-4-26b-a4b-it · cyankiwi/gemma-4-26b-a4b-it-awq-4bit · unsloth/gemma-4-26b-a4b-it-gguf,covered,openrouter google/gemma-4-26b-a4b-it pricing · google/gemma-4-26b-a4b-it · cyankiwi/gemma-4-26b-a4b-it-awq-4bit · unsloth/gemma-4-26b-a4b-it-gguf,covered,openrouter google/gemma-4-26b-a4b-it pricing · google/gemma-4-26b-a4b-it · cyankiwi/gemma-4-26b-a4b-it-awq-4bit · unsloth/gemma-4-26b-a4b-it-gguf,covered,openrouter google/gemma-4-26b-a4b-it pricing · google/gemma-4-26b-a4b-it · cyankiwi/gemma-4-26b-a4b-it-awq-4bit · unsloth/gemma-4-26b-a4b-it-gguf,not_applicable,,covered,google/gemma-4-26b-a4b-it · cyankiwi/gemma-4-26b-a4b-it-awq-4bit · unsloth/gemma-4-26b-a4b-it-gguf · openrouter google/gemma-4-26b-a4b-it pricing,covered,openrouter google/gemma-4-26b-a4b-it pricing · google/gemma-4-26b-a4b-it · cyankiwi/gemma-4-26b-a4b-it-awq-4bit · unsloth/gemma-4-26b-a4b-it-gguf,covered,openrouter google/gemma-4-26b-a4b-it pricing · google/gemma-4-26b-a4b-it · cyankiwi/gemma-4-26b-a4b-it-awq-4bit · unsloth/gemma-4-26b-a4b-it-gguf,covered,openrouter google/gemma-4-26b-a4b-it pricing · google/gemma-4-26b-a4b-it · cyankiwi/gemma-4-26b-a4b-it-awq-4bit · unsloth/gemma-4-26b-a4b-it-gguf,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
